L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,attack_cat
49125,80,6,7.0,18890,354,1087890,746,27,27,27,4294951,16,16,31,32,1500,52,52,1500,18890.0,1087890.0,289,1,543733,369,8888000,511944000,360,0,20,0,720,65160,7240,8448,33,0,0,0,0.0,0,Benign
25750,51031,6,0.0,4550,78,69850,80,27,27,27,0,0,0,31,32,1352,52,52,1352,4550.0,69850.0,555,6,34505,32,36400000,558800000,104,0,0,6,48,52128,14480,11008,43,0,0,0,0.0,0,Benign
64310,52919,6,0.0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928.0,320.0,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0.0,0,Benign
23187,21,6,1.0,1251,23,1750,25,24,24,24,0,0,0,31,32,106,52,52,106,1698.0,1992.0,309,5,516,6,8552000,9512000,59,0,0,0,0,15928,14480,13568,53,0,0,0,229.0,0,Benign
37782,53,17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,13875,1,60,0.0,0,Benign
53128,32429,6,0.0,4712,28,3080,30,27,27,27,0,0,0,31,32,988,52,52,988,4712.0,3080.0,1936,6,1068,6,37696000,24640000,36,18,2,2,0,14480,14480,36864,144,0,0,0,0.0,0,Benign
10742,25,6,3.0,38022,54,3484,44,27,27,27,0,0,0,31,32,1500,52,52,1500,38022.0,3484.0,18539,18,958,7,304176000,27872000,68,4,2,0,24,15928,31856,27392,107,0,0,0,0.0,0,Benign
9154,5592,6,0.0,4186,71,62882,72,27,27,27,0,0,0,31,32,1352,52,52,1352,4186.0,62882.0,555,6,31021,28,33488000,503056000,97,0,0,0,46,52128,14480,11008,43,0,0,0,0.0,0,Benign
19972,59765,6,0.0,2958,48,32374,50,27,27,27,0,0,0,31,32,1352,52,52,1352,2958.0,32374.0,539,6,15767,17,23664000,258992000,74,0,2,0,22,30408,14480,6912,27,0,0,0,0.0,0,Benign
12937,21,6,1.0,2059,37,2816,39,24,24,24,0,0,0,31,32,106,52,52,106,2506.0,3058.0,505,8,887,10,11664000,13552000,87,0,0,0,0,21720,18824,63744,249,0,0,0,125.0,0,Benign
13005,9694,6,0.0,2334,36,16734,38,27,27,27,0,0,0,31,32,1352,52,52,1352,2334.0,16734.0,539,6,7947,11,18672000,133872000,62,0,0,2,10,21720,14480,6912,27,0,0,0,0.0,0,Benign
1218,80,6,7.0,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0,Benign
53177,21,6,1.0,2383,43,3234,45,24,24,24,0,0,0,31,32,106,52,52,106,2830.0,3476.0,563,9,1068,12,12760000,14984000,99,0,0,0,0,24616,20272,13056,51,0,0,0,221.0,0,Benign
58031,42295,6,0.0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928.0,320.0,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0.0,0,Benign
4044,21,6,1.0,1493,27,2054,29,24,24,24,0,0,0,31,32,106,52,52,106,1940.0,2296.0,378,6,610,7,9544000,10784000,67,0,0,0,0,17376,15928,31232,122,0,0,0,125.0,0,Benign
12157,9705,6,0.0,3806,64,55844,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806.0,55844.0,547,6,27502,25,30448000,446752000,88,2,0,0,40,41992,14480,8960,35,0,0,0,0.0,0,Benign
9591,49771,6,0.0,2646,42,23966,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,23966.0,539,6,11563,14,21168000,191728000,68,0,2,0,16,26064,14480,6912,27,0,0,0,0.0,0,Benign
63957,514,17,17.0,482,2,0,0,0,0,0,0,0,0,254,254,241,241,0,241,482.0,0.0,0,0,0,0,3856000,0,0,2,0,0,0,0,0,0,0,0,0,0,0.0,1,Fuzzers
32072,51438,6,0.0,3598,60,48918,62,27,27,27,0,0,0,31,32,1352,52,52,1352,3598.0,48918.0,547,6,24039,23,28784000,391344000,86,0,0,4,32,39096,14480,8960,35,0,0,0,0.0,0,Benign
34047,53,17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,8538,1,60,0.0,0,Benign
13373,111,17,0.0,568,4,320,4,0,0,0,0,0,0,31,32,142,80,80,142,568.0,320.0,0,0,0,0,4544000,2560000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0,Benign
43548,3652,6,0.0,2646,42,23604,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,23604.0,539,6,11382,14,21168000,188832000,70,0,0,0,16,26064,14480,6912,27,0,0,0,0.0,0,Benign
50111,52481,6,0.0,2542,40,23432,42,27,27,27,0,0,0,31,32,1352,52,52,1352,2542.0,23432.0,539,6,11296,13,20336000,187456000,66,0,0,0,16,24616,14480,6912,27,0,0,0,0.0,0,Benign
3004,7053,6,0.0,2854,46,31354,48,27,27,27,0,0,0,31,32,1352,52,52,1352,2854.0,31354.0,539,6,15257,16,22832000,250832000,72,0,0,0,22,28960,14480,6912,27,0,0,0,0.0,0,Benign
41019,44986,6,0.0,2542,40,22592,42,27,27,27,0,0,0,31,32,1352,52,52,1352,2542.0,22592.0,539,6,10876,13,20336000,180736000,66,0,0,2,14,24616,14480,6912,27,0,0,0,0.0,0,Benign
34502,21,6,1.0,1493,27,2056,29,24,24,24,0,0,0,31,32,106,52,52,106,1940.0,2298.0,378,6,611,7,9544000,10784000,67,0,0,0,0,17376,15928,31232,122,0,0,0,125.0,0,Benign
57135,5190,6,0.0,1958,22,2308,24,27,27,27,0,0,0,31,32,485,52,52,485,1958.0,2308.0,663,5,786,5,15664000,18464000,42,0,4,0,0,13032,13032,38656,151,0,0,0,0.0,0,Benign
5776,22,6,92.0,5928,62,8010,58,27,27,27,0,0,0,31,32,900,52,52,900,5928.0,8010.0,2024,13,3325,16,47424000,64080000,108,2,4,6,0,28960,24616,59392,232,0,0,0,0.0,0,Benign
61587,21,6,1.0,1817,33,2512,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2754.0,436,7,793,9,10616000,12192000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
60137,1904,6,0.0,2750,44,26584,46,27,27,27,0,0,0,31,32,1352,52,52,1352,2750.0,26584.0,539,6,12872,15,22000000,212672000,70,2,0,0,18,27512,14480,6912,27,0,0,0,0.0,0,Benign
25285,62661,17,0.0,528,4,304,4,0,0,0,0,0,0,31,32,148,52,52,148,528.0,304.0,0,0,0,0,4224000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0,Benign
14980,13716,6,0.0,4248,28,3080,30,27,27,27,0,0,0,31,32,756,52,52,756,4248.0,3080.0,1704,6,1068,6,33984000,24640000,36,18,2,2,0,14480,14480,43008,168,0,0,0,0.0,0,Benign
50853,5190,6,0.0,1036,12,2262,12,27,27,27,0,0,0,31,32,829,52,52,829,1036.0,2262.0,358,3,971,3,8288000,18096000,20,2,0,2,0,10136,10136,26112,102,0,0,0,0.0,0,Benign
55915,110,6,0.0,952,20,6000,22,27,27,19,4294951,16,16,62,63,1500,40,40,1500,952.0,6000.0,300,6,2872,8,448000,2816000,38,0,0,0,4,16383,16383,11264,44,0,0,0,0.0,1,Exploits
34341,48171,6,0.0,2438,38,19408,40,27,27,27,0,0,0,31,32,1352,52,52,1352,2438.0,19408.0,539,6,9284,12,19504000,155264000,64,0,0,2,12,23168,14480,6912,27,0,0,0,0.0,0,Benign
17486,63543,6,0.0,2164,40,43870,42,27,27,27,0,0,0,31,32,1352,52,52,1352,2164.0,43870.0,90,1,21723,17,17312000,350960000,50,0,0,0,32,41992,14480,23040,90,0,0,0,0.0,0,Benign
52671,29859,6,0.0,5174,90,83812,92,27,27,27,0,0,0,31,32,1352,52,52,1352,5174.0,83812.0,555,6,41486,38,41392000,670496000,116,6,0,0,60,60816,14480,11008,43,0,0,0,0.0,0,Benign
61039,21,6,1.0,1251,23,1752,25,24,24,24,0,0,0,31,32,106,52,52,106,1698.0,1994.0,309,5,517,6,8552000,9520000,59,0,0,0,0,15928,14480,13568,53,0,0,0,229.0,0,Benign
37907,11278,6,0.0,4550,78,74188,80,27,27,27,0,0,0,31,32,1352,52,52,1352,4550.0,74188.0,555,6,36674,32,36400000,593504000,104,0,0,0,54,52128,14480,11008,43,0,0,0,0.0,0,Benign
24530,22,6,92.0,3728,32,5578,26,27,27,27,0,0,0,31,32,900,52,52,900,3728.0,5578.0,1340,6,2421,6,29824000,44624000,44,4,4,6,0,14480,14480,15360,60,0,0,0,0.0,0,Benign
60509,21,6,1.0,261,5,469,7,24,24,24,0,0,0,31,32,89,52,52,89,708.0,711.0,74,1,89,1,4656000,4584000,23,0,0,0,0,8688,8688,18944,74,0,0,0,230.0,0,Benign
15056,13806,6,0.0,4192,18,2456,18,27,27,27,0,0,0,31,32,988,52,52,988,4192.0,2456.0,1936,6,1068,6,33536000,19648000,14,18,2,2,0,14480,14480,36864,144,0,0,0,0.0,0,Benign
45462,6053,6,0.0,3752,18,2456,18,27,27,27,0,0,0,31,32,768,52,52,768,3752.0,2456.0,1716,6,1068,6,30016000,19648000,14,18,2,2,0,14480,14480,46080,180,0,0,0,0.0,0,Benign
21980,20078,6,0.0,3302,54,40828,54,27,27,27,0,0,0,31,32,1352,52,52,1352,3302.0,40828.0,555,6,20046,20,26416000,326624000,78,0,0,0,30,34752,14480,11008,43,0,0,0,0.0,0,Benign
16891,53,17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,58462,1,60,0.0,0,Benign
1606,143,6,4.0,7818,122,15470,126,27,27,27,0,0,0,31,32,1500,52,52,1500,7818.0,15470.0,2241,29,6067,31,62544000,123760000,222,16,6,2,2,50680,47784,49408,193,0,0,0,0.0,0,Benign
11761,6881,6,0.0,5592,90,192828,164,27,27,27,0,0,0,31,32,1500,52,52,1500,5592.0,192828.0,920,9,95786,70,44736000,1542624000,116,0,4,10,124,65160,18824,38912,152,0,0,0,0.0,0,Benign
50061,22,6,92.0,9296,104,12402,116,27,27,27,0,0,0,31,32,900,52,52,900,9296.0,12402.0,3240,25,4741,30,74368000,99216000,210,0,4,6,0,49232,41992,43008,168,0,0,0,0.0,0,Benign
19868,53,17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,59449,1,60,0.0,0,Benign
2543,21,6,1.0,2059,37,2816,39,24,24,24,0,0,0,31,32,106,52,52,106,2506.0,3058.0,505,8,887,10,11664000,13552000,87,0,0,0,0,21720,18824,63744,249,0,0,0,125.0,0,Benign
9868,21,6,1.0,1817,33,2512,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2754.0,436,7,793,9,10616000,12192000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
30529,21,6,1.0,1817,33,2509,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2751.0,436,7,792,9,10616000,12184000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
45919,6045,6,0.0,2558,40,23470,42,27,27,27,0,0,0,31,32,1358,52,52,1358,2558.0,23470.0,547,6,11315,13,20464000,187760000,66,0,0,0,16,24616,14480,8960,35,0,0,0,0.0,0,Benign
1050,80,6,7.0,1052,8,824,10,27,27,27,0,0,0,31,32,366,52,52,366,1052.0,824.0,366,1,200,1,8416000,6592000,14,2,2,0,0,7240,7240,28160,110,0,0,0,0.0,0,Benign
20348,13224,6,0.0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928.0,320.0,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0.0,0,Benign
45262,22,6,92.0,3728,32,5474,24,27,27,27,0,0,0,31,32,900,52,52,900,3728.0,5474.0,1340,6,2421,6,29824000,43792000,42,4,4,6,0,14480,14480,15360,60,0,0,0,0.0,0,Benign
41170,143,6,4.0,7816,122,15606,126,27,27,27,0,0,0,31,32,1500,52,52,1500,7816.0,15606.0,2240,29,6135,31,62528000,124848000,222,16,6,2,2,50680,47784,49152,192,0,0,0,0.0,0,Benign
29940,6881,6,0.0,12934,224,548216,438,27,27,27,0,0,0,31,32,1500,52,52,1500,12934.0,548216.0,1679,20,272908,196,103472000,90760704,274,0,4,32,352,65160,34752,36608,143,0,0,0,0.0,0,Benign
30090,5190,6,0.0,2054,22,2478,24,27,27,27,0,0,0,31,32,433,52,52,433,2054.0,2478.0,711,5,871,5,16432000,19824000,38,4,4,0,0,13032,13032,50944,199,0,0,0,0.0,0,Benign
15528,21,6,1.0,481,9,749,11,24,24,24,0,0,0,31,32,93,52,52,93,928.0,991.0,132,2,172,2,5576000,5696000,31,0,0,0,0,10136,10136,33792,132,0,0,0,229.0,0,Benign
39493,39676,6,0.0,424,8,8824,12,27,19,27,4294951,16,16,31,32,1500,52,52,1500,424.0,8824.0,0,0,4252,3,192000,4152000,14,0,0,0,6,10136,5792,0,0,0,0,0,0.0,0,Benign
53212,22,6,92.0,9400,106,12298,114,27,27,27,0,0,0,31,32,900,52,52,900,9400.0,12298.0,3240,25,4741,30,75200000,98384000,210,0,4,6,0,49232,41992,43008,168,0,0,0,0.0,0,Benign
5077,21,6,1.0,261,5,469,7,24,24,24,0,0,0,31,32,89,52,52,89,708.0,711.0,74,1,89,1,4656000,4584000,23,0,0,0,0,8688,8688,18944,74,0,0,0,230.0,0,Benign
34596,80,6,7.0,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0,Benign
22776,25,6,3.0,31470,44,2722,33,27,27,27,0,0,0,31,32,1500,52,52,1500,31470.0,2722.0,15315,14,759,5,251760000,21776000,53,2,2,0,20,15928,30408,54016,211,0,0,0,0.0,0,Benign
54679,143,6,4.0,7716,120,14968,124,27,27,27,0,0,0,31,32,1500,52,52,1500,7716.0,14968.0,2242,29,5816,30,61728000,119744000,220,16,4,2,2,50680,47784,49664,194,0,0,0,0.0,0,Benign
12913,38500,6,0.0,4014,68,58994,70,27,27,27,0,0,0,31,32,1352,52,52,1352,4014.0,58994.0,547,6,29077,27,32112000,471952000,94,0,0,4,40,44888,14480,8960,35,0,0,0,0.0,0,Benign
61553,5190,6,0.0,4908,34,2448,26,27,27,27,4294952,15,15,31,32,1264,52,52,1264,4908.0,2448.0,1982,8,804,5,2448000,1224000,54,0,4,0,2,13032,17376,48640,190,0,0,0,0.0,0,Benign
4248,47077,6,0.0,4456,18,2560,20,27,27,27,0,0,0,31,32,1120,52,52,1120,4456.0,2560.0,2068,6,1068,6,35648000,20480000,16,18,2,0,2,14480,14480,5120,20,0,0,0,0.0,0,Benign
11060,25,6,3.0,37318,52,3380,42,27,27,27,0,0,0,31,32,1500,52,52,1500,37318.0,3380.0,18187,17,958,7,298544000,27040000,66,2,2,0,24,15928,30408,2816,11,0,0,0,0.0,0,Benign
14919,53,17,0.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130.0,162.0,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,40930,1,60,0.0,0,Benign
18154,15887,6,0.0,2334,36,16920,38,27,27,27,0,0,0,31,32,1352,52,52,1352,2334.0,16920.0,539,6,8040,11,18672000,135360000,62,0,0,2,10,21720,14480,6912,27,0,0,0,0.0,0,Benign
44386,6446,6,0.0,2646,42,24004,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,24004.0,539,6,11582,14,21168000,192032000,68,0,2,0,16,26064,14480,6912,27,0,0,0,0.0,0,Benign
60133,21,6,1.0,2487,45,3500,50,25,25,25,0,0,0,31,32,106,52,52,106,2934.0,3742.0,563,9,1126,13,13736000,16336000,106,0,0,0,0,26064,20272,13056,51,0,0,0,0.0,0,Benign
1864,5190,6,0.0,13672,172,45624,192,27,27,27,0,0,0,31,32,1412,52,52,1412,13672.0,45624.0,4336,38,20832,58,109376000,364992000,252,54,44,2,12,65160,60816,61440,240,0,0,0,0.0,0,Benign
64750,6881,6,0.0,13142,228,548216,438,27,27,27,0,0,0,31,32,1500,52,52,1500,13142.0,548216.0,1679,20,272908,196,105136000,90760704,278,0,4,32,352,65160,34752,36608,143,0,0,0,0.0,0,Benign
59821,18810,6,0.0,558,10,336,8,19,19,19,0,0,0,254,255,103,40,40,103,558.0,336.0,103,1,0,0,4464000,2688000,18,0,0,0,0,16383,16383,26368,103,0,0,0,0.0,1,Shellcode
31980,54587,6,0.0,320,6,1948,8,27,19,27,0,0,0,31,32,814,52,52,814,320.0,1948.0,0,0,814,1,2560000,15584000,12,0,0,2,0,7240,5792,0,0,0,0,0,0.0,0,Benign
63395,19041,6,0.0,3718,62,45946,58,26,26,26,0,0,0,31,32,1352,52,52,1352,3718.0,45946.0,555,6,22657,23,29744000,367568000,84,0,4,0,32,40544,14480,11008,43,0,0,0,0.0,0,Benign
12700,40103,6,0.0,3926,66,55114,68,27,27,27,0,0,0,31,32,1352,52,52,1352,3926.0,55114.0,555,6,27137,26,31408000,440912000,92,0,0,6,36,43440,14480,11008,43,0,0,0,0.0,0,Benign
62503,39434,6,0.0,2230,34,13358,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230.0,13358.0,539,6,6259,10,17840000,106864000,60,0,2,0,8,20272,14480,6912,27,0,0,0,0.0,0,Benign
40486,5190,6,0.0,1036,12,2262,12,27,27,27,0,0,0,31,32,829,52,52,829,1036.0,2262.0,358,3,971,3,8288000,18096000,20,2,0,2,0,10136,10136,26112,102,0,0,0,0.0,0,Benign
18490,21,6,1.0,1817,33,2512,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2754.0,436,7,793,9,10616000,12192000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
50081,18204,6,0.0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928.0,320.0,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0.0,0,Benign
34696,13261,6,0.0,3598,60,47402,62,27,27,27,0,0,0,31,32,1352,52,52,1352,3598.0,47402.0,547,6,23281,23,28784000,379216000,86,0,0,4,32,39096,14480,8960,35,0,0,0,0.0,0,Benign
26236,59458,6,0.0,3182,52,39694,54,27,27,27,0,0,0,31,32,1352,52,52,1352,3182.0,39694.0,547,6,19427,19,25456000,317552000,76,2,0,0,28,33304,14480,8960,35,0,0,0,0.0,0,Benign
22663,64923,6,0.0,4238,72,60964,74,27,27,27,0,0,0,31,32,1352,52,52,1352,4238.0,60964.0,555,6,30062,29,33904000,487712000,98,0,6,0,42,47784,14480,11008,43,0,0,0,0.0,0,Benign
58186,21,6,1.0,2059,37,2816,39,24,24,24,0,0,0,31,32,106,52,52,106,2506.0,3058.0,505,8,887,10,11664000,13552000,87,0,0,0,0,21720,18824,63744,249,0,0,0,125.0,0,Benign
41726,21,6,1.0,2383,43,3234,45,24,24,24,0,0,0,31,32,106,52,52,106,2830.0,3476.0,563,9,1068,12,12760000,14984000,99,0,0,0,0,24616,20272,13056,51,0,0,0,221.0,0,Benign
61942,3260,6,0.0,974,6,80,2,18,18,18,0,0,0,62,63,407,40,40,407,974.0,80.0,407,1,0,0,7792000,640000,6,0,2,0,0,36101,39291,38656,151,0,0,0,0.0,0,Benign
20302,21,6,1.0,701,13,1054,15,24,24,24,0,0,0,31,32,106,52,52,106,1148.0,1296.0,190,3,266,3,6480000,6864000,39,0,0,0,0,11584,11584,48640,190,0,0,0,125.0,0,Benign
3360,21,6,1.0,1817,33,2512,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2754.0,436,7,793,9,10616000,12192000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
17723,63619,6,0.0,3614,60,49342,62,27,27,27,0,0,0,31,32,1352,52,52,1352,3614.0,49342.0,555,6,24251,23,28912000,394736000,86,0,0,0,36,39096,14480,11008,43,0,0,0,0.0,0,Benign
46594,21,6,1.0,1251,23,1752,25,24,24,24,0,0,0,31,32,106,52,52,106,1698.0,1994.0,309,5,517,6,8552000,9520000,59,0,0,0,0,15928,14480,13568,53,0,0,0,229.0,0,Benign
11620,9584,6,0.0,2646,42,25460,42,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,25460.0,539,6,12362,14,21168000,203680000,66,0,0,0,18,26064,14480,6912,27,0,0,0,0.0,0,Benign
6738,25,6,3.0,38120,54,3380,42,27,27,27,0,0,0,31,32,1500,52,52,1500,38120.0,3380.0,18588,18,958,7,304960000,27040000,66,4,2,0,24,15928,31856,39936,156,0,0,0,0.0,0,Benign
38251,80,6,7.0,1580,12,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1580.0,10168.0,578,2,4820,4,12640000,81344000,18,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0,Benign
60784,25,6,3.0,37144,52,3276,40,27,27,27,0,0,0,31,32,1500,52,52,1500,37144.0,3276.0,18100,17,958,7,297152000,26208000,64,2,2,0,24,15928,30408,46080,180,0,0,0,0.0,0,Benign
41169,17751,6,0.0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928.0,320.0,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0.0,0,Benign
63015,80,6,7.0,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0,Benign
2428,25888,6,0.0,2646,42,26176,44,27,27,27,0,0,0,31,32,1369,52,52,1369,2646.0,26176.0,539,6,12668,14,21168000,209408000,68,0,0,0,18,26064,14480,6912,27,0,0,0,0.0,0,Benign
46438,80,6,7.0,1044,8,824,10,27,27,27,0,0,0,31,32,362,52,52,362,1044.0,824.0,362,1,200,1,8352000,6592000,14,2,2,0,0,7240,7240,27136,106,0,0,0,0.0,0,Benign
9536,520,17,0.0,2024,2,0,0,0,0,0,0,0,0,254,254,1012,1012,0,1012,2024.0,0.0,0,0,0,0,16192000,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,1,Fuzzers
56662,21,6,1.0,1817,33,2511,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2753.0,436,7,793,9,10616000,12192000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0,Benign
35577,38948,6,0.0,4014,68,57846,70,27,27,27,0,0,0,31,32,1352,52,52,1352,4014.0,57846.0,547,6,28503,27,32112000,462768000,94,0,4,0,40,44888,14480,8960,35,0,0,0,0.0,0,Benign
49364,1802,6,0.0,2958,48,32368,50,27,27,27,0,0,0,31,32,1352,52,52,1352,2958.0,32368.0,539,6,15764,17,23664000,258944000,74,0,2,0,22,30408,14480,6912,27,0,0,0,0.0,0,Benign
